国立中学校
公立中学校・中等教育学校・義務教育学校
私立中学校
北海道教育大学附属札幌中学校
札幌中学校
札幌中
教育大学附属札幌中学校
教育大学附属札幌中
北海道教育大学附属函館中学校
函館中学校
函館中
教育大学附属函館中学校
教育大学附属函館中
北海道教育大学附属旭川中学校
旭川中学校
旭川中
教育大学附属旭川中学校
教育大学附属旭川中
北海道教育大学附属釧路中学校
釧路中学校
釧路中
教育大学附属釧路中学校
教育大学附属釧路中
札幌市立陵北中学校ひまわり分校
陵北中学校ひまわり分校
陵北中ひまわり分校
札幌市立柏中学校
柏中学校
柏中
札幌市立啓明中学校
啓明中学校
啓明中
札幌市立向陵中学校
向陵中学校
向陵中
札幌市立中央中学校
中央中学校
中央中
札幌市立中島中学校
中島中学校
中島中
札幌市立伏見中学校
伏見中学校
伏見中
札幌市立宮の森中学校
宮の森中学校
宮の森中
札幌市立山鼻中学校
山鼻中学校
山鼻中
札幌市立あいの里東中学校
あいの里東中学校
あいの里東中
札幌市立上篠路中学校
上篠路中学校
上篠路中
札幌市立篠路中学校
篠路中学校
篠路中
札幌市立篠路西中学校
篠路西中学校
篠路西中
札幌市立太平中学校
太平中学校
太平中
札幌市立屯田中央中学校
屯田中央中学校
屯田中央中
札幌市立屯田北中学校
屯田北中学校
屯田北中
札幌市立新琴似中学校
新琴似中学校
新琴似中
札幌市立新琴似北中学校
新琴似北中学校
新琴似北中
札幌市立光陽中学校
光陽中学校
光陽中
札幌市立新川中学校
新川中学校
新川中
札幌市立新川西中学校
新川西中学校
新川西中
札幌市立北辰中学校
北辰中学校
北辰中
札幌市立北陽中学校
北陽中学校
北陽中
札幌市立丘珠中学校
丘珠中学校
丘珠中
札幌市立栄中学校
栄中学校
栄中
札幌市立栄町中学校
栄町中学校
栄町中
札幌市立栄南中学校
栄南中学校
栄南中
札幌市立札苗北中学校
札苗北中学校
札苗北中
札幌市立札苗中学校
札苗中学校
札苗中
札幌市立札幌中学校
札幌中学校
札幌中
札幌市立東栄中学校
東栄中学校
東栄中
札幌市立北栄中学校
北栄中学校
北栄中
札幌市立福移中学校
福移中学校
福移中
札幌市立美香保中学校
美香保中学校
美香保中
札幌市立明園中学校
明園中学校
明園中
札幌市立元町中学校
元町中学校
元町中
札幌市立幌東中学校
幌東中学校
幌東中
札幌市立白石中学校
白石中学校
白石中
札幌市立日章中学校
日章中学校
日章中
札幌市立柏丘中学校
柏丘中学校
柏丘中
札幌市立東白石中学校
東白石中学校
東白石中
札幌市立北白石中学校
北白石中学校
北白石中
札幌市立北都中学校
北都中学校
北都中
札幌市立米里中学校
米里中学校
米里中
札幌市立平岸中学校のぞみ分校
平岸中学校のぞみ分校
平岸中のぞみ分校
札幌市立あやめ野中学校
あやめ野中学校
あやめ野中
札幌市立月寒中学校
月寒中学校
