わんこそば,,,-4472,名詞,一般,*,*,*,*,わんこそば,*,*,local_foods
ひゅうず,,,-3200,名詞,一般,*,*,*,*,ひゅうず,*,*,local_foods
ぬっぺ汁,,,-3200,名詞,一般,*,*,*,*,ぬっぺ汁,*,*,local_foods
うちわ餅,,,-3200,名詞,一般,*,*,*,*,うちわ餅,*,*,local_foods
ほろほろ,,,-3200,名詞,一般,*,*,*,*,ほろほろ,*,*,local_foods
切り山椒,,,-3200,名詞,一般,*,*,*,*,切り山椒,*,*,local_foods
盛岡冷麺,,,-3200,名詞,一般,*,*,*,*,盛岡冷麺,*,*,local_foods
盛岡じゃじゃ麺,,,-7408,名詞,一般,*,*,*,*,盛岡じゃじゃ麺,*,*,local_foods
おくずかけ,,,-4472,名詞,一般,*,*,*,*,おくずかけ,*,*,local_foods
仙台味噌,,,-3200,名詞,一般,*,*,*,*,仙台味噌,*,*,local_foods
はっと汁,,,-3200,名詞,一般,*,*,*,*,はっと汁,*,*,local_foods
はらこ飯,,,-3200,名詞,一般,*,*,*,*,はらこ飯,*,*,local_foods
ほっき飯,,,-3200,名詞,一般,*,*,*,*,ほっき飯,*,*,local_foods
ほっき貝,,,-3200,名詞,一般,*,*,*,*,ほっき貝,*,*,local_foods
ホヤ料理,,,-3200,名詞,一般,*,*,*,*,ホヤ料理,*,*,local_foods
長なす漬,,,-3200,名詞,一般,*,*,*,*,長なす漬,*,*,local_foods
仙台牛タン,,,-4472,名詞,一般,*,*,*,*,仙台牛タン,*,*,local_foods
ずんだ餅,,,-3200,名詞,一般,*,*,*,*,ずんだ餅,*,*,local_foods
石焼き鍋,,,-3200,名詞,一般,*,*,*,*,石焼き鍋,*,*,local_foods
稲庭うどん,,,-4472,名詞,一般,*,*,*,*,稲庭うどん,*,*,local_foods
いぶりがっこ,,,-5878,名詞,一般,*,*,*,*,いぶりがっこ,*,*,local_foods
だまこもち,,,-4472,名詞,一般,*,*,*,*,だまこもち,*,*,local_foods
きりたんぽ,,,-4472,名詞,一般,*,*,*,*,きりたんぽ,*,*,local_foods
じゅんさい,,,-4472,名詞,一般,*,*,*,*,じゅんさい,*,*,local_foods
しょっつる鍋,,,-5878,名詞,一般,*,*,*,*,しょっつる鍋,*,*,local_foods
ハタハタ寿司,,,-5878,名詞,一般,*,*,*,*,ハタハタ寿司,*,*,local_foods
ババヘラ,,,-3200,名詞,一般,*,*,*,*,ババヘラ,*,*,local_foods
とんぶり,,,-3200,名詞,一般,*,*,*,*,とんぶり,*,*,local_foods
とろろまま,,,-4472,名詞,一般,*,*,*,*,とろろまま,*,*,local_foods
ザッパ汁,,,-3200,名詞,一般,*,*,*,*,ザッパ汁,*,*,local_foods
芋の子汁,,,-3200,名詞,一般,*,*,*,*,芋の子汁,*,*,local_foods
青菜漬け,,,-3200,名詞,一般,*,*,*,*,青菜漬け,*,*,local_foods
いなごの佃煮,,,-5878,名詞,一般,*,*,*,*,いなごの佃煮,*,*,local_foods
おみ漬け,,,-3200,名詞,一般,*,*,*,*,おみ漬け,*,*,local_foods
もってのほか,,,-5878,名詞,一般,*,*,*,*,もってのほか,*,*,local_foods
どんどん焼き,,,-5878,名詞,一般,*,*,*,*,どんどん焼き,*,*,local_foods
塩引きずし,,,-4472,名詞,一般,*,*,*,*,塩引きずし,*,*,local_foods
ひょう干し,,,-4472,名詞,一般,*,*,*,*,ひょう干し,*,*,local_foods
くるみ豆腐,,,-4472,名詞,一般,*,*,*,*,くるみ豆腐,*,*,local_foods
むきそば,,,-3200,名詞,一般,*,*,*,*,むきそば,*,*,local_foods
ふきのとう味噌,,,-7408,名詞,一般,*,*,*,*,ふきのとう味噌,*,*,local_foods
雪菜のふすべ漬け,,,-9050,名詞,一般,*,*,*,*,雪菜のふすべ漬け,*,*,local_foods
おかひじき,,,-4472,名詞,一般,*,*,*,*,おかひじき,*,*,local_foods
いか塩辛,,,-3200,名詞,一般,*,*,*,*,いか塩辛,*,*,local_foods
水かけご飯,,,-4472,名詞,一般,*,*,*,*,水かけご飯,*,*,local_foods
ずんだ餅,,,-3200,名詞,一般,*,*,*,*,ずんだ餅,*,*,local_foods
あんこう鍋,,,-4472,名詞,一般,*,*,*,*,あんこう鍋,*,*,local_foods
いかにんじん,,,-5878,名詞,一般,*,*,*,*,いかにんじん,*,*,local_foods
ウニの貝焼き,,,-5878,名詞,一般,*,*,*,*,ウニの貝焼き,*,*,local_foods
つと豆腐,,,-3200,名詞,一般,*,*,*,*,つと豆腐,*,*,local_foods
にしん漬,,,-3200,名詞,一般,*,*,*,*,にしん漬,*,*,local_foods
よもぎ餅,,,-3200,名詞,一般,*,*,*,*,よもぎ餅,*,*,local_foods
ゆず巻き,,,-3200,名詞,一般,*,*,*,*,ゆず巻き,*,*,local_foods
三五八漬け,,,-4472,名詞,一般,*,*,*,*,三五八漬け,*,*,local_foods
しんごろう,,,-4472,名詞,一般,*,*,*,*,しんごろう,*,*,local_foods
ニシンの山椒漬け,,,-9050,名詞,一般,*,*,*,*,ニシンの山椒漬け,*,*,local_foods
はっとう,,,-3200,名詞,一般,*,*,*,*,はっとう,*,*,local_foods
ふきのとう味噌,,,-7408,名詞,一般,*,*,*,*,ふきのとう味噌,*,*,local_foods
ぼうたら煮,,,-4472,名詞,一般,*,*,*,*,ぼうたら煮,*,*,local_foods
ホッキ飯,,,-3200,名詞,一般,*,*,*,*,ホッキ飯,*,*,local_foods
味噌かんぷら,,,-5878,名詞,一般,*,*,*,*,味噌かんぷら,*,*,local_foods
メヒカリ,,,-3200,名詞,一般,*,*,*,*,メヒカリ,*,*,local_foods
山都そば,,,-3200,名詞,一般,*,*,*,*,山都そば,*,*,local_foods
山人料理,,,-3200,名詞,一般,*,*,*,*,山人料理,*,*,local_foods
あんこう鍋,,,-4472,名詞,一般,*,*,*,*,あんこう鍋,*,*,local_foods
