公立中学校
私立中学校
札幌市立一条中学校
一条中学校
札幌市立中央中学校
中央中学校
札幌市立陵雲中学校
陵雲中学校
札幌市立滝野中学校
滝野中学校
札幌市立常盤中学校
常盤中学校
札幌市立盤渓中学校
盤渓中学校
札幌市立向陵中学校
向陵中学校
札幌市立豊羽中学校
豊羽中学校
札幌市立定山渓中学校
定山渓中学校
札幌市立東米里中学校
東米里中学校
札幌市立米里中学校
米里中学校
札幌市立東米里中学校ひまわり分校
東米里中学校ひまわり分校
札幌市立陵北中学校ひまわり分校
陵北中学校ひまわり分校
豊平町立豊瀧中学校
豊瀧中学校
江別市立篠津中学校
篠津中学校
江別市立美原中学校
美原中学校
江別市立八幡中学校
八幡中学校
江別市立江北中学校
江北中学校
江別市立江別第三中学校
江別第三中学校
江別市立角山中学校
角山中学校
江別市立中央中学校
中央中学校
恵庭市立盤尻中学校
盤尻中学校
恵庭市立恵庭中学校
恵庭中学校
恵庭村立島松中学校
島松中学校
恵庭市立恵北中学校
恵北中学校
恵庭村立松園中学校
松園中学校
恵庭村立松鶴中学校
松鶴中学校
千歳市立水明中学校藤の沢分校
水明中学校藤の沢分校
千歳市立水明中学校
水明中学校
千歳市立千歳中学校
千歳中学校
千歳市立泉郷中学校
泉郷中学校
千歳市立中央中学校
中央中学校
千歳市立長都中学校
長都中学校
千歳市立真町中学校
真町中学校
石狩市立望来中学校
望来中学校
石狩市立厚田中学校
厚田中学校
石狩町立樽川中学校
樽川中学校
石狩町立石狩中学校
石狩中学校
石狩市立石狩中学校
石狩中学校
石狩町立高岡中学校
高岡中学校
石狩町立生振中学校
生振中学校
厚田村立厚田中学校古潭分校
厚田中学校古潭分校
厚田村立厚田中学校発足分校
厚田中学校発足分校
厚田村立発足中学校
発足中学校
厚田村立古澤中学校
古澤中学校
浜益村立黄金中学校
黄金中学校
石狩市立浜益中学校
浜益中学校
浜益村立浜東中学校
浜東中学校
浜益村立実田中学校
実田中学校
浜益村立千代志別中学校
千代志別中学校
